4.4285714286		4.22E-03	0
4.4206773619		1.10E-01	4.52E-04
4.4128113879		5.12E-01	2.90E-03
4.404973357		1.42E+01	6.05E-02
4.3971631206		1.09E+02	5.41E-01
4.389380531		4.16E+02	2.58E+00
4.3816254417		1.70E+03	1.08E+01
4.3738977072		3.27E+03	3.00E+01
4.3661971831		6.76E+04	3.03E+02
4.3585237258		2.32E+05	1.45E+03
4.350877193		7.53E+05	5.22E+03
4.3432574431		4.03E+06	2.34E+04
4.3356643357		1.30E+07	8.81E+04
4.3280977312		8.00E+07	4.40E+05
4.3205574913		2.63E+08	1.73E+06
4.3130434783		1.05E+09	6.67E+06
4.3055555556		6.05E+09	3.32E+07
4.2980935875		1.67E+10	1.18E+08
4.2906574394		5.51E+10	3.85E+08
4.2832469775		2.04E+11	1.35E+09
4.275862069		5.96E+11	4.30E+09
4.2685025818		1.37E+12	1.15E+10
4.2611683849		3.51E+12	2.94E+10
4.2538593482		1.10E+13	8.23E+10
4.2465753425		2.71E+13	2.21E+11
4.2393162393		4.34E+13	4.77E+11
4.2320819113		8.83E+13	9.53E+11
4.2248722317		2.33E+14	2.11E+12
4.2176870748		4.31E+14	4.50E+12
4.2105263158		6.83E+14	8.49E+12
4.2033898305		1.28E+15	1.55E+13
4.1962774958		2.91E+15	3.04E+13
4.1891891892		5.04E+15	5.86E+13
4.1821247892		7.55E+15	1.03E+14
4.1750841751		1.03E+16	1.66E+14
4.1680672269		1.99E+16	2.72E+14
4.1610738255		3.11E+16	4.50E+14
4.1541038526		3.86E+16	6.93E+14
4.1471571906		5.34E+16	1.01E+15
4.1402337229		9.39E+16	1.52E+15
4.1333333333		1.12E+17	2.23E+15
4.1264559068		1.37E+17	3.09E+15
4.1196013289		2.14E+17	4.29E+15
4.1127694859		2.99E+17	6.04E+15
4.1059602649		3.27E+17	8.18E+15
4.0991735537		4.81E+17	1.09E+16
4.0924092409		8.01E+17	1.53E+16
4.0856672158		1.02E+18	2.14E+16
4.0789473684		1.08E+18	2.84E+16
4.0722495895		1.37E+18	3.67E+16
4.0655737705		1.90E+18	4.76E+16
4.0589198036		2.17E+18	6.11E+16
4.0522875817		2.16E+18	7.54E+16
4.0456769984		2.47E+18	9.07E+16
4.0390879479		3.27E+18	1.10E+17
4.0325203252		4.21E+18	1.34E+17
4.025974026		4.49E+18	1.63E+17
4.0194489465		4.94E+18	1.93E+17
4.0129449838		4.86E+18	2.25E+17
4.0064620355		5.21E+18	2.58E+17
4		6.16E+18	2.95E+17
3.9935587762		7.97E+18	3.40E+17
3.9871382637		1.01E+19	3.98E+17
3.9807383628		1.03E+19	4.64E+17
3.9743589744		1.15E+19	5.33E+17
3.968		1.23E+19	6.09E+17
3.9616613419		1.34E+19	6.90E+17
3.9553429027		1.35E+19	7.75E+17
3.949044586		1.50E+19	8.65E+17
3.9427662957		1.65E+19	9.64E+17
3.9365079365		1.73E+19	1.07E+18
3.9302694136		1.51E+19	1.17E+18
3.9240506329		1.58E+19	1.27E+18
3.9178515008		1.94E+19	1.38E+18
3.9116719243		2.22E+19	1.50E+18
3.905511811		2.37E+19	1.65E+18
3.8993710692		2.30E+19	1.79E+18
3.8932496075		2.44E+19	1.93E+18
3.8871473354		2.70E+19	2.09E+18
3.8810641628		2.59E+19	2.25E+18
3.875		2.73E+19	2.41E+18
3.8689547582		3.28E+19	2.59E+18
3.8629283489		3.36E+19	2.79E+18
3.8569206843		3.22E+19	2.99E+18
3.850931677		3.01E+19	3.18E+18
3.8449612403		2.96E+19	3.36E+18
3.8390092879		2.90E+19	3.53E+18
3.8330757342		3.42E+19	3.72E+18
3.8271604938		3.80E+19	3.93E+18
3.8212634823		3.93E+19	4.16E+18
3.8153846154		3.89E+19	4.39E+18
3.8095238095		4.54E+19	4.64E+18
3.8036809816		5.36E+19	4.93E+18
3.797856049		5.75E+19	5.25E+18
3.7920489297		5.65E+19	5.58E+18
3.786259542		5.49E+19	5.90E+18
3.7804878049		5.03E+19	6.21E+18
3.7747336377		5.35E+19	6.50E+18
3.7689969605		6.11E+19	6.83E+18
3.7632776935		6.81E+19	7.20E+18
3.7575757576		6.88E+19	7.59E+18
3.7518910741		6.27E+19	7.97E+18
3.746223565		5.93E+19	8.31E+18
3.7405731523		6.18E+19	8.65E+18
3.734939759		6.48E+19	9.01E+18
3.7293233083		6.55E+19	9.38E+18
3.7237237237		6.44E+19	9.74E+18
3.7181409295		6.13E+19	1.01E+19
3.7125748503		6.28E+19	1.04E+19
3.7070254111		6.76E+19	1.08E+19
3.7014925373		7.08E+19	1.12E+19
3.695976155		6.95E+19	1.16E+19
3.6904761905		6.39E+19	1.19E+19
3.6849925706		5.91E+19	1.23E+19
3.6795252226		5.81E+19	1.26E+19
3.6740740741		6.25E+19	1.29E+19
3.6686390533		6.81E+19	1.33E+19
3.6632200886		7.17E+19	1.37E+19
3.6578171091		7.33E+19	1.40E+19
3.6524300442		7.54E+19	1.44E+19
3.6470588235		8.01E+19	1.49E+19
3.6417033774		8.02E+19	1.53E+19
3.6363636364		7.59E+19	1.57E+19
3.6310395315		7.59E+19	1.61E+19
3.6257309942		7.95E+19	1.65E+19
3.6204379562		8.28E+19	1.70E+19
3.6151603499		8.44E+19	1.74E+19
3.6098981077		8.00E+19	1.78E+19
3.6046511628		6.92E+19	1.82E+19
3.5994194485		6.69E+19	1.86E+19
3.5942028986		7.65E+19	1.90E+19
3.5890014472		8.19E+19	1.94E+19
3.5838150289		8.03E+19	1.98E+19
3.5786435786		8.22E+19	2.02E+19
